location,customer_type,preferred_language,make,model,year_of_purchase,age_of_vehicle,fuel_type,transmission,odometer_reading,warranty_status,insurance_status,last_service_type,service_center,number_of_services,last_service_kms,avg_kms_per_month,next_service_due_kms,next_service_due_days,AMC_status,pending_service,response,follow_up_required,telecaller_name,service_booked,call_duration_sec,remark,eligible_offer_code,offer_description,offer_valid_till,sent_sms,sms_delivered,sms_clicked,sent_Whats,Whats_delivered,Whats_clicked,sent_email,clicked_email,email_opened,last_service_cost,feedback_score,pickup_drop_required,customer_feedback,days_since_last_service,days_until_next_service,days_since_follow_up,days_since_feedback,days_since_last_call,alert_due
OMR,Retail,Tamil,Ford,Aspire,2019,6,Electric,Automatic,59174,Expired,Expired,Minor,OMR,7,56063,811,66063,357,No,No,Denied,No,Mary,No,197,Booked,OFF989,10% OFF Labour,31-07-2025,No,No,No,No,No,No,No,No,No,9884,4,No,Poor Service,301,-178,0.0,270,36,True
T Nagar,Corporate,Tamil,Toyota,Yaris,2019,6,Electric,Automatic,32365,Expired,Active,Major,T Nagar,3,30554,443,40554,296,No,Yes,Positive,No,Melissa,Yes,138,Call back later,OFF305,10% OFF Labour,30-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10996,4,Yes,Satisfied,92,88,0.0,-31,147,False
Anna Nagar,Retail,English,Ford,Figo,2020,5,Diesel,Manual,49576,Expired,Expired,Minor,Anna Nagar,8,46881,813,56881,210,No,No,No Response,No,Marie,No,297,Not interested,OFF216,Free Wash,30-07-2025,No,No,No,No,No,No,No,No,No,3213,4,No,Average,120,60,0.0,-2,25,False
OMR,Corporate,English,Honda,City,2019,6,Petrol,Manual,83890,Expired,Expired,Minor,OMR,6,82509,1149,92509,180,No,Yes,No Response,No,Christian,No,233,Call back later,OFF422,Engine Oil Discount,17-08-2025,No,No,No,No,No,No,Yes,Yes,No,6601,5,No,Smooth Process,256,-76,0.0,255,18,True
T Nagar,Fleet,Hindi,Honda,City,2015,10,Electric,Manual,77667,Expired,Active,Major,T Nagar,4,73001,642,83001,180,Yes,No,No Response,Yes,Greg,No,278,Call back later,OFF217,10% OFF Labour,13-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,14907,3,No,Unresponsive,217,-37,116.0,214,35,True
Anna Nagar,Fleet,Tamil,Maruti,Swift,2017,8,Diesel,Manual,94153,Expired,Active,Minor,Anna Nagar,6,92604,971,102604,415,No,No,Positive,No,Brandon,Yes,177,Booked,OFF334,15% OFF AMC,11-08-2025,No,No,No,No,No,No,Yes,No,No,7706,3,No,Smooth Process,303,-123,0.0,535,34,True
Anna Nagar,Fleet,Tamil,Ford,Figo,2016,9,Diesel,Manual,110023,Expired,Active,Major,Anna Nagar,9,108420,1009,118420,180,No,Yes,Busy,No,Brandon,No,208,Booked,OFF524,10% OFF Labour,25-07-2025,No,No,No,No,No,No,No,No,No,5855,1,No,Poor Service,185,-5,0.0,184,42,True
T Nagar,Fleet,Hindi,Toyota,Innova,2021,4,Electric,Manual,96833,Expired,Active,Major,T Nagar,4,93558,1976,103558,357,No,No,Denied,Yes,James,No,94,Call back later,OFF111,10% OFF Labour,22-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5712,4,Yes,Poor Service,238,-117,19.0,411,-67,True
Anna Nagar,Fleet,Tamil,Honda,Amaze,2020,5,Diesel,Automatic,68402,Expired,Active,Minor,Anna Nagar,7,64111,1121,74111,180,No,No,Busy,No,Christopher,No,242,Call back later,OFF955,10% OFF Labour,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4328,4,Yes,Poor Service,97,83,0.0,96,116,False
OMR,Corporate,Tamil,Toyota,Etios,2016,9,Electric,Manual,80432,Expired,Active,Minor,OMR,8,77323,738,87323,209,Yes,Yes,Busy,No,Jordan,No,196,Already serviced,OFF303,15% OFF AMC,24-07-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,9708,3,Yes,Smooth Process,89,91,0.0,58,14,False
