location,customer_type,preferred_language,make,model,year_of_purchase,age_of_vehicle,fuel_type,transmission,odometer_reading,warranty_status,insurance_status,last_service_type,service_center,number_of_services,last_service_kms,avg_kms_per_month,next_service_due_kms,next_service_due_days,AMC_status,pending_service,response,follow_up_required,telecaller_name,service_booked,call_duration_sec,remark,eligible_offer_code,offer_description,offer_valid_till,sent_sms,sms_delivered,sms_clicked,sent_Whats,Whats_delivered,Whats_clicked,sent_email,clicked_email,email_opened,last_service_cost,feedback_score,pickup_drop_required,customer_feedback,days_since_last_service,days_until_next_service,days_since_follow_up,days_since_feedback,days_since_last_call,alert_due,feedback_sentiment,service_urgent,predicted_urgency,customer_segment,personalized_message,preferred_channels
OMR,Retail,Tamil,Ford,Aspire,2019,6,Electric,Automatic,59174,Expired,Expired,Minor,OMR,7,56063,811,66063,357,No,No,Denied,No,Mary,No,197,Booked,OFF989,10% OFF Labour,31-07-2025,No,No,No,No,No,No,No,No,No,9884,4,No,Poor Service,299,-176,0.0,268,34,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 357 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,Hindi,Honda,City,2015,10,Electric,Manual,77667,Expired,Active,Major,T Nagar,4,73001,642,83001,180,Yes,No,No Response,Yes,Greg,No,278,Call back later,OFF217,10% OFF Labour,13-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,14907,3,No,Unresponsive,215,-35,114.0,212,33,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Tamil,Ford,Figo,2016,9,Diesel,Manual,110023,Expired,Active,Major,Anna Nagar,9,108420,1009,118420,180,No,Yes,Busy,No,Brandon,No,208,Booked,OFF524,10% OFF Labour,25-07-2025,No,No,No,No,No,No,No,No,No,5855,1,No,Poor Service,183,-3,0.0,182,40,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,Hindi,Toyota,Innova,2021,4,Electric,Manual,96833,Expired,Active,Major,T Nagar,4,93558,1976,103558,357,No,No,Denied,Yes,James,No,94,Call back later,OFF111,10% OFF Labour,22-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5712,4,Yes,Poor Service,236,-115,17.0,409,-69,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 357 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Tamil,Honda,Amaze,2020,5,Diesel,Automatic,68402,Expired,Active,Minor,Anna Nagar,7,64111,1121,74111,180,No,No,Busy,No,Christopher,No,242,Call back later,OFF955,10% OFF Labour,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4328,4,Yes,Poor Service,95,85,0.0,94,114,False,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Corporate,English,Ford,Aspire,2015,10,Electric,Automatic,32089,Expired,Active,Minor,OMR,6,27651,265,37651,239,Yes,No,Positive,No,Lisa,Yes,283,Already serviced,OFF274,15% OFF AMC,16-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7820,1,No,Unresponsive,56,-199,0.0,26,204,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 239 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,Hindi,Ford,EcoSport,2019,6,Electric,Automatic,62206,Expired,Active,Minor,T Nagar,6,59448,852,69448,180,Yes,No,Busy,Yes,Dillon,No,220,Not interested,OFF248,15% OFF AMC,12-08-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,12807,3,No,Delayed Pickup,137,102,204.0,136,31,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Corporate,English,Toyota,Yaris,2018,7,Electric,Manual,104841,Expired,Expired,Major,T Nagar,8,100459,1233,110459,180,Yes,No,Positive,No,Matthew,Yes,70,Booked,OFF889,15% OFF AMC,04-08-2025,No,No,No,No,No,No,No,No,No,9206,2,Yes,Average,371,-191,0.0,369,40,True,-0.15,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,Hindi,Maruti,Swift,2019,6,Petrol,Automatic,58745,Expired,Expired,Minor,T Nagar,6,56581,805,66581,180,No,Yes,Busy,No,Michael,No,123,Call back later,OFF959,Free Wash,21-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7298,4,No,Unresponsive,277,-97,0.0,274,17,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,Tamil,Maruti,Dzire,2017,8,Petrol,Automatic,11287,Expired,Expired,Major,T Nagar,3,8360,116,18360,180,Yes,Yes,No Response,Yes,James,No,78,Already serviced,OFF438,10% OFF Labour,12-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,10165,3,No,Delayed Pickup,272,-92,23.0,475,84,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
