location,customer_type,make,model,year_of_purchase,next_service_due_days,customer_feedback,feedback_score,reminder_message,channels,telecaller_name
OMR,Retail,Ford,Figo,2016,-86,Average,1,"Dear Retail Customer,

Our records indicate your Ford Figo (purchased in 2016) needs service urgently. Recommended service in -86 days.

We noticed your previous feedback and want to ensure a better experience this time.

Special offer: Free Wash (Code: OFF992).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS', 'WhatsApp']",Theresa
Anna Nagar,Corporate,Toyota,Innova,2018,34,Delayed Pickup,4,"Dear Corporate Customer,

Our records indicate your Toyota Innova (purchased in 2018) needs service soon. Recommended service in 34 days.

Special offer: Free Wash (Code: OFF787).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS', 'WhatsApp']",Michael
T Nagar,Corporate,Toyota,Etios,2017,91,Delayed Pickup,5,"Dear Corporate Customer,

Our records indicate your Toyota Etios (purchased in 2017) needs service soon. Recommended service in 91 days.

Special offer: Engine Oil Discount (Code: OFF100).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Brian
T Nagar,Retail,Maruti,Swift,2018,2,Unresponsive,5,"Dear Retail Customer,

Our records indicate your Maruti Swift (purchased in 2018) needs service urgently. Recommended service in 2 days.

Special offer: 15% OFF AMC (Code: OFF297).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS', 'WhatsApp']",Karen
Velachery,Retail,Hyundai,i20,2021,-113,Satisfied,4,"Dear Retail Customer,

Our records indicate your Hyundai i20 (purchased in 2021) needs service urgently. Recommended service in -113 days.

Special offer: Engine Oil Discount (Code: OFF255).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS', 'WhatsApp']",Karen
OMR,Retail,Hyundai,i10,2018,-86,Average,5,"Dear Retail Customer,

Our records indicate your Hyundai i10 (purchased in 2018) needs service urgently. Recommended service in -86 days.

Special offer: Engine Oil Discount (Code: OFF936).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS']",Susan
OMR,Fleet,Hyundai,Creta,2016,91,Unresponsive,4,"Dear Fleet Customer,

Our records indicate your Hyundai Creta (purchased in 2016) needs service soon. Recommended service in 91 days.

Special offer: Free Wash (Code: OFF577).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Brian
OMR,Retail,Toyota,Yaris,2018,-25,Poor Service,1,"Dear Retail Customer,

Our records indicate your Toyota Yaris (purchased in 2018) needs service urgently. Recommended service in -25 days.

We noticed your previous feedback and want to ensure a better experience this time.

Special offer: 10% OFF Labour (Code: OFF929).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Andrew
T Nagar,Corporate,Toyota,Etios,2017,91,Satisfied,5,"Dear Corporate Customer,

Our records indicate your Toyota Etios (purchased in 2017) needs service soon. Recommended service in 91 days.

Special offer: Engine Oil Discount (Code: OFF100).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Brian
OMR,Fleet,Honda,City,2018,-27,Smooth Process,4,"Dear Fleet Customer,

Our records indicate your Honda City (purchased in 2018) needs service urgently. Recommended service in -27 days.

Special offer: 15% OFF AMC (Code: OFF144).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Jason
Anna Nagar,Corporate,Maruti,Swift,2015,2,Smooth Process,3,"Dear Corporate Customer,

Our records indicate your Maruti Swift (purchased in 2015) needs service urgently. Recommended service in 2 days.

Special offer: 15% OFF AMC (Code: OFF800).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['SMS', 'WhatsApp']",Megan
Anna Nagar,Corporate,Toyota,Innova,2015,62,Smooth Process,4,"Dear Corporate Customer,

Our records indicate your Toyota Innova (purchased in 2015) needs service soon. Recommended service in 62 days.

Special offer: Engine Oil Discount (Code: OFF495).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS']",Carlos
Velachery,Corporate,Hyundai,Creta,2021,61,Smooth Process,4,"Dear Corporate Customer,

Our records indicate your Hyundai Creta (purchased in 2021) needs service soon. Recommended service in 61 days.

Special offer: Free Wash (Code: OFF545).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS']",Katie
Velachery,Corporate,Maruti,Swift,2016,5,Smooth Process,4,"Dear Corporate Customer,

Our records indicate your Maruti Swift (purchased in 2016) needs service urgently. Recommended service in 5 days.

Special offer: 10% OFF Labour (Code: OFF238).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Shawn
OMR,Retail,Hyundai,i10,2018,-27,Smooth Process,2,"Dear Retail Customer,

Our records indicate your Hyundai i10 (purchased in 2018) needs service urgently. Recommended service in -27 days.

We noticed your previous feedback and want to ensure a better experience this time.

Special offer: 15% OFF AMC (Code: OFF688).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Jonathan
Anna Nagar,Fleet,Toyota,Etios,2017,-27,Unresponsive,3,"Dear Fleet Customer,

Our records indicate your Toyota Etios (purchased in 2017) needs service urgently. Recommended service in -27 days.

Special offer: Free Wash (Code: OFF201).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS', 'WhatsApp']",Lynn
OMR,Retail,Honda,City,2022,62,Satisfied,4,"Dear Retail Customer,

Our records indicate your Honda City (purchased in 2022) needs service soon. Recommended service in 62 days.

Special offer: 15% OFF AMC (Code: OFF551).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Mandy
OMR,Retail,Maruti,Baleno,2022,2,Satisfied,4,"Dear Retail Customer,

Our records indicate your Maruti Baleno (purchased in 2022) needs service urgently. Recommended service in 2 days.

Special offer: Free Wash (Code: OFF819).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Rodney
