location,customer_type,make,model,year_of_purchase,next_service_due_days,preferred_channels,reminder_message,reminder_schedule,telecaller_name,priority
Velachery,Fleet,Ford,EcoSport,2022,32,"['WhatsApp', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Ford EcoSport (purchased in 2022) is due for service in 32 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: Engine Oil Discount (Code: OFF697). Valid until 04-08-2025.

Best regards,
AutoMoto AI Service Team","[30, 15, 7, 3]",Deanna,Medium-High
OMR,Retail,Ford,Figo,2016,-86,"['WhatsApp', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Ford Figo (purchased in 2016) is due for service in -86 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: Free Wash (Code: OFF992). Valid until 04-08-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Theresa,
Anna Nagar,Corporate,Toyota,Innova,2018,34,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

We hope this message finds you well. Your Toyota Innova (purchased in 2018) is due for service in 34 days.

As an AMC holder, you're eligible for special benefits. Please schedule your service at your earliest convenience.

Special offer for you: Free Wash (Code: OFF787). Valid until 16-08-2025.

Best regards,
AutoMoto AI Service Team","[30, 15, 7, 3]",Michael,Medium-High
T Nagar,Corporate,Toyota,Etios,2017,91,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

We hope this message finds you well. Your Toyota Etios (purchased in 2017) is due for service in 91 days.

As an AMC holder, you're eligible for special benefits. Please schedule your service at your earliest convenience.

Special offer for you: Engine Oil Discount (Code: OFF100). Valid until 31-07-2025.

Best regards,
AutoMoto AI Service Team","[60, 30, 15, 7]",Brian,Low
T Nagar,Retail,Maruti,Swift,2018,2,"['WhatsApp', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Maruti Swift (purchased in 2018) is due for service in 2 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: 15% OFF AMC (Code: OFF297). Valid until 01-08-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Karen,High
Velachery,Retail,Hyundai,i20,2021,-113,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Hyundai i20 (purchased in 2021) is due for service in -113 days.

As an AMC holder, you're eligible for special benefits. Please schedule your service at your earliest convenience.

Special offer for you: Engine Oil Discount (Code: OFF255). Valid until 29-07-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Karen,
T Nagar,Fleet,Hyundai,i20,2020,-54,['Email'],"Dear Valued Customer,

Hope you're doing well. Your Hyundai i20 (purchased in 2020) is due for service in -54 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: 10% OFF Labour (Code: OFF195). Valid until 26-07-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",David,
OMR,Retail,Hyundai,i10,2018,-86,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Hyundai i10 (purchased in 2018) is due for service in -86 days.

As an AMC holder, you're eligible for special benefits. Please schedule your service at your earliest convenience.

Special offer for you: Engine Oil Discount (Code: OFF936). Valid until 03-08-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Susan,
T Nagar,Fleet,Hyundai,i20,2020,-54,['Email'],"Dear Valued Customer,

Hope you're doing well. Your Hyundai i20 (purchased in 2020) is due for service in -54 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: 10% OFF Labour (Code: OFF195). Valid until 26-07-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",David,
OMR,Fleet,Hyundai,Creta,2016,91,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Hyundai Creta (purchased in 2016) is due for service in 91 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: Free Wash (Code: OFF577). Valid until 26-07-2025.

Best regards,
AutoMoto AI Service Team","[60, 30, 15, 7]",Brian,Low
OMR,Retail,Toyota,Yaris,2018,-25,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Toyota Yaris (purchased in 2018) is due for service in -25 days.

As an AMC holder, you're eligible for special benefits. Please schedule your service at your earliest convenience.

Special offer for you: 10% OFF Labour (Code: OFF929). Valid until 01-08-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Andrew,
T Nagar,Corporate,Toyota,Etios,2017,91,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

We hope this message finds you well. Your Toyota Etios (purchased in 2017) is due for service in 91 days.

As an AMC holder, you're eligible for special benefits. Please schedule your service at your earliest convenience.

Special offer for you: Engine Oil Discount (Code: OFF100). Valid until 31-07-2025.

Best regards,
AutoMoto AI Service Team","[60, 30, 15, 7]",Brian,Low
OMR,Fleet,Honda,City,2018,-27,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Honda City (purchased in 2018) is due for service in -27 days.

As an AMC holder, you're eligible for special benefits. Please schedule your service at your earliest convenience.

Special offer for you: 15% OFF AMC (Code: OFF144). Valid until 14-08-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Jason,
Anna Nagar,Corporate,Maruti,Swift,2015,2,"['WhatsApp', 'SMS']","Dear Valued Customer,

We hope this message finds you well. Your Maruti Swift (purchased in 2015) is due for service in 2 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: 15% OFF AMC (Code: OFF800). Valid until 07-08-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Megan,High
Anna Nagar,Corporate,Toyota,Innova,2015,62,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

We hope this message finds you well. Your Toyota Innova (purchased in 2015) is due for service in 62 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: Engine Oil Discount (Code: OFF495). Valid until 26-07-2025.

Best regards,
AutoMoto AI Service Team","[60, 30, 15, 7]",Carlos,Medium
Velachery,Corporate,Hyundai,Creta,2021,61,['Email'],"Dear Valued Customer,

We hope this message finds you well. Your Hyundai Creta (purchased in 2021) is due for service in 61 days.

As an AMC holder, you're eligible for special benefits. Please schedule your service at your earliest convenience.

Special offer for you: Free Wash (Code: OFF545). Valid until 25-07-2025.

Best regards,
AutoMoto AI Service Team","[60, 30, 15, 7]",Katie,Medium
Velachery,Corporate,Maruti,Swift,2016,5,['Email'],"Dear Valued Customer,

We hope this message finds you well. Your Maruti Swift (purchased in 2016) is due for service in 5 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: 10% OFF Labour (Code: OFF238). Valid until 12-08-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Shawn,High
Velachery,Fleet,Maruti,Dzire,2016,62,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Maruti Dzire (purchased in 2016) is due for service in 62 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: Engine Oil Discount (Code: OFF960). Valid until 28-07-2025.

Best regards,
AutoMoto AI Service Team","[60, 30, 15, 7]",Perry,Medium
OMR,Retail,Hyundai,i10,2018,-27,['Email'],"Dear Valued Customer,

Hope you're doing well. Your Hyundai i10 (purchased in 2018) is due for service in -27 days.

As an AMC holder, you're eligible for special benefits. Please schedule your service at your earliest convenience.

Special offer for you: 15% OFF AMC (Code: OFF688). Valid until 22-07-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Jonathan,
Anna Nagar,Fleet,Toyota,Etios,2017,-27,"['WhatsApp', 'Email', 'SMS']","Dear Valued Customer,

Hope you're doing well. Your Toyota Etios (purchased in 2017) is due for service in -27 days.

Regular maintenance ensures optimal performance. Please schedule your service at your earliest convenience.

Special offer for you: Free Wash (Code: OFF201). Valid until 13-08-2025.

Best regards,
AutoMoto AI Service Team","[7, 3, 1]",Lynn,
