location,customer_type,make,model,year_of_purchase,customer_feedback,feedback_score,next_service_due_days,customer_segment,tailored_message,comms_protocol,telecaller_name
OMR,Retail,Ford,Aspire,2019,Poor Service,4,357,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Aspire is due for service in 357 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Mary
T Nagar,Fleet,Honda,City,2015,Unresponsive,3,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda City is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Greg
Anna Nagar,Fleet,Ford,Figo,2016,Poor Service,1,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Figo is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Brandon
T Nagar,Fleet,Toyota,Innova,2021,Poor Service,4,357,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Innova is due for service in 357 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",James
Anna Nagar,Fleet,Honda,Amaze,2020,Poor Service,4,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda Amaze is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Christopher
OMR,Corporate,Ford,Aspire,2015,Unresponsive,1,239,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Aspire is due for service in 239 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Lisa
T Nagar,Fleet,Ford,EcoSport,2019,Delayed Pickup,3,180,Medium Priority,"Dear Fleet Customer,

We hope you're enjoying your vehicle. Your Ford EcoSport is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: 15% OFF AMC (Code: OFF248).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",Dillon
T Nagar,Corporate,Toyota,Yaris,2018,Average,2,180,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Yaris is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Matthew
T Nagar,Retail,Maruti,Swift,2019,Unresponsive,4,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Swift is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Michael
T Nagar,Retail,Maruti,Dzire,2017,Delayed Pickup,3,180,Medium Priority,"Dear Retail Customer,

We hope you're enjoying your vehicle. Your Maruti Dzire is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

Special offer: 10% OFF Labour (Code: OFF438).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",James
Velachery,Fleet,Hyundai,Creta,2015,Unresponsive,4,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Hyundai Creta is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Devin
OMR,Retail,Honda,Amaze,2019,Smooth Process,2,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Honda Amaze is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Gilbert
Velachery,Corporate,Hyundai,i20,2021,Unresponsive,2,180,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Hyundai i20 is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Barbara
OMR,Retail,Honda,Jazz,2016,Delayed Pickup,3,180,Medium Priority,"Dear Retail Customer,

We hope you're enjoying your vehicle. Your Honda Jazz is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

Special offer: 10% OFF Labour (Code: OFF776).

We appreciate your trust in our services.

Best regards,
Your Service Team","{'channels': ['Email', 'SMS'], 'follow_up': 'Automated reminder', 'escalation': 'Standard process'}",Courtney
T Nagar,Fleet,Ford,EcoSport,2019,Unresponsive,3,180,Critical,"Dear Fleet Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford EcoSport is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Dillon
Velachery,Corporate,Maruti,Swift,2019,Delayed Pickup,1,180,Critical,"Dear Corporate Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Maruti Swift is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Emily
Velachery,Retail,Toyota,Yaris,2021,Poor Service,4,207,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Yaris is due for service in 207 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Kim
Anna Nagar,Retail,Toyota,Yaris,2020,Unresponsive,3,123,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Yaris is due for service in 123 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Diane
Velachery,Retail,Toyota,Yaris,2019,Average,2,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Yaris is due for service in 180 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Sarah
OMR,Retail,Toyota,Yaris,2020,Poor Service,4,180,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Toyota Yaris is due for service in 180 days.
This service will include comprehensive checks to maintain optimal performance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Andrea
Velachery,Retail,Ford,Aspire,2017,Unresponsive,3,298,Critical,"Dear Retail Customer,

We sincerely apologize for your recent unsatisfactory experience. Our team lead will personally oversee your next service to ensure complete satisfaction. Your Ford Aspire is due for service in 298 days.
Our records show your last service was a major one - this will be a routine maintenance.

As our apology, we're offering you a complimentary 15% discount on this service. Our service manager will contact you personally to schedule.

We value your business and are committed to making things right.

Best regards,
Your Service Team","{'channels': ['Phone', 'WhatsApp', 'Email'], 'follow_up': 'Manager call within 24h', 'escalation': 'Service supervisor'}",Kevin
